plate_map_name	well_position	control_type	cell_type	day	line	clone	cell_density
BR00138701	A01						
BR00138701	A02						
BR00138701	A03						
BR00138701	A04						
BR00138701	A05						
BR00138701	A06						
BR00138701	A07						
BR00138701	A08						
BR00138701	A09						
BR00138701	A10						
BR00138701	A11						
BR00138701	A12						
BR00138701	B01						
BR00138701	B02		Ineuron	17	WT	1	8k
BR00138701	B03		Ineuron	17	WT	1	8k
BR00138701	B04		Ineuron	17	WT	1	8k
BR00138701	B05		Ineuron	17	WT	1	8k
BR00138701	B06		Ineuron	17	WT	4	8k
BR00138701	B07		Ineuron	17	DEL	4	8k
BR00138701	B08		Ineuron	17	DEL	4	17k
BR00138701	B09		Ineuron	17	DEL	2	17k
BR00138701	B10		Ineuron	17	DEL	2	17k
BR00138701	B11		Ineuron	17	DEL	2	17k
BR00138701	B12		Ineuron	17	DEL	2	17k
BR00138701	C01						
BR00138701	C02		Ineuron	17	DEL	1	8k
BR00138701	C03		Ineuron	17	DEL	1	8k
BR00138701	C04		Ineuron	17	DEL	1	8k
BR00138701	C05		Ineuron	17	DEL	1	8k
BR00138701	C06		Ineuron	17	WT	4	8k
BR00138701	C07		Ineuron	17	DEL	4	8k
BR00138701	C08		Ineuron	17	DEL	4	17k
BR00138701	C09		Ineuron	17	WT	3	17k
BR00138701	C10		Ineuron	17	WT	3	17k
BR00138701	C11		Ineuron	17	WT	3	17k
BR00138701	C12		Ineuron	17	WT	3	17k
BR00138701	D01						
BR00138701	D02		Ineuron	17	WT	2	8k
BR00138701	D03		Ineuron	17	WT	2	8k
BR00138701	D04		Ineuron	17	WT	2	8k
BR00138701	D05		Ineuron	17	WT	2	8k
BR00138701	D06		Ineuron	17	WT	4	17k
BR00138701	D07		Ineuron	17	DEL	4	8k
BR00138701	D08		Ineuron	17	DEL	3	17k
BR00138701	D09		Ineuron	17	DEL	3	17k
BR00138701	D10		Ineuron	17	DEL	3	17k
BR00138701	D11		Ineuron	17	DEL	3	17k
BR00138701	D12						
BR00138701	E01		Ineuron	17	WT	1	17k
BR00138701	E02		Ineuron	17	WT	1	17k
BR00138701	E03		Ineuron	17	WT	1	17k
BR00138701	E04		Ineuron	17	WT	1	17k
BR00138701	E05		Ineuron	17	WT	4	8k
BR00138701	E06		Ineuron	17	WT	4	17k
BR00138701	E07		Ineuron	17	DEL	4	8k
BR00138701	E08		Ineuron	17	DEL	2	8k
BR00138701	E09		Ineuron	17	DEL	2	8k
BR00138701	E10		Ineuron	17	DEL	2	8k
BR00138701	E11		Ineuron	17	DEL	2	8k
BR00138701	E12						
BR00138701	F01		Ineuron	17	DEL	1	17k
BR00138701	F02		Ineuron	17	DEL	1	17k
BR00138701	F03		Ineuron	17	DEL	1	17k
BR00138701	F04		Ineuron	17	DEL	1	17k
BR00138701	F05		Ineuron	17	WT	4	8k
BR00138701	F06		Ineuron	17	WT	4	17k
BR00138701	F07		Ineuron	17	DEL	4	17k
BR00138701	F08		Ineuron	17	WT	3	8k
BR00138701	F09		Ineuron	17	WT	3	8k
BR00138701	F10		Ineuron	17	WT	3	8k
BR00138701	F11		Ineuron	17	WT	3	8k
BR00138701	F12						
BR00138701	G01						
BR00138701	G02		Ineuron	17	WT	2	17k
BR00138701	G03		Ineuron	17	WT	2	17k
BR00138701	G04		Ineuron	17	WT	2	17k
BR00138701	G05		Ineuron	17	WT	2	17k
BR00138701	G06		Ineuron	17	WT	4	17k
BR00138701	G07		Ineuron	17	DEL	4	17k
BR00138701	G08		Ineuron	17	DEL	3	8k
BR00138701	G09		Ineuron	17	DEL	3	8k
BR00138701	G10		Ineuron	17	DEL	3	8k
BR00138701	G11		Ineuron	17	DEL	3	8k
BR00138701	G12						
BR00138701	H01						
BR00138701	H02						
BR00138701	H03						
BR00138701	H04						
BR00138701	H05						
BR00138701	H06						
BR00138701	H07						
BR00138701	H08						
BR00138701	H09						
BR00138701	H10						
BR00138701	H11						
BR00138701	H12						
